event_id,player_id,player_first_name,player_last_name,placement,score
2024-010011,,Jason,Qin,1,51700
2024-010011,4,Michael,McLeod,2,33400
2024-010011,,Ryan,Shim,3,-29200
2024-010011,14,Jason,Li,4,-55900
2024-010011,9,Collin,Wang,5,110200
2024-010011,,Amy,Situ,6,90800
2024-010011,,Cassandra,McClure,7,63500
2024-010011,25,Dennis,Kwok,8,62900
2024-010011,,Andre,Carneiro,9,59300
2024-010011,41,Toshihiro,Sakurai,10,51400
2024-010011,,Harry,Hua,11,40900
2024-010011,52,Lynette,Dang,12,38600
2024-010011,36,Eric,Zhang,13,34800
2024-010011,,Estey,Gerstner,14,28800
2024-010011,20,Claudel,Bilodeau,15,27800
2024-010011,,Kevin,Ng,16,9000
2024-010011,26,Jeremy,Lyn,17,2800
2024-010011,18,Sébastien,Bouchard,18,-8800
2024-010011,,Antoine,Dufour-Blain,19,-15500
2024-010011,1,Loïc,Roberge,20,-23200
2024-010011,27,Marc-Laurent,Frenette,21,-37700
2024-010011,,Lenny,Bobinski,22,-40500
2024-010011,28,Cédéric,Paré,23,-45300
2024-010011,,Alessandro,Chiari,24,-61000
2024-010011,19,Lorenzo,Desrosiers,25,-64100
2024-010011,3,Sylvie,Brunelle,26,-71600
2024-010011,,Justin,Fontano,27,-78400
2024-010011,,John,Lee,28,-81500
2024-010011,,Jonghwan,Kim,29,-115300
2024-010011,,Elijah,Salcedo,30,-130700
2024-010011,,Sean,Huguenard,31,-139100
2024-010011,,SUBSTITUTE,PLAYER,32,
