event_id,player_id,player_first_name,player_last_name,placement,score
2017-010001,,Andrew,W,1,29000
2017-010001,,Daniel,Moreno,2,5900
2017-010001,13,Anne,Rinfret,3,-12000
2017-010001,17,Alexandre,Boily,4,-22900
2017-010001,,Estey,G,5,28800
2017-010001,,Ty,Kennedy,6,7000
2017-010001,20,Claudel,Bilodeau,7,-7800
2017-010001,1,Loïc,Roberge,8,-28000
2017-010001,,Weijie,T,9,28600
2017-010001,,Dave,B,10,4400
2017-010001,18,Sébastien,Bouchard,11,-10700
2017-010001,,Patrick,M,12,-22300
2017-010001,,Olivier,B,13,20500
2017-010001,,Alexander,D,14,5500
2017-010001,,Myriam,(last Name),15,-19700
