event_id,player_id,player_first_name,player_last_name,placement,score
2023-010007,,Olav,Sommers,1,152900
2023-010007,,Sheila,Hansen,2,133200
2023-010007,,Anneke,Keyl,3,132900
2023-010007,,Timur,Hahn,4,120700
2023-010007,,Łukasz,Grzybowski,5,109400
2023-010007,,John,Duckworth,6,103000
2023-010007,,Jesper,Nøhr,7,101600
2023-010007,,Eigo,Kawatani,8,91100
2023-010007,,Tomáš,Široň,9,90000
2023-010007,,Anna,Zubenko,10,86700
2023-010007,,Thai,Chung,11,85100
2023-010007,,Mihnea,Petratu,12,83300
2023-010007,,Konsta,Lensu,13,77400
2023-010007,,Jasper,Germeys,14,67700
2023-010007,,Ivar,Bouwman,15,67300
2023-010007,,Bogdan,Bolean,16,49200
2023-010007,,Pieter,Potmeer,17,23800
2023-010007,,Michael,Van Der Sluijs,18,16500
2023-010007,,Maria,Baranowska,19,13200
2023-010007,,Sergio,Matos Lima,20,2600
2023-010007,,Jacqueline,Oudshoorn,21,-3100
2023-010007,,Marjoleine,Lips,22,-7300
2023-010007,2,Grant,Mahoney,23,-32200
2023-010007,,Nina,Popławska,24,-81100
2023-010007,,Mateusz,Maćkowski,25,-81100
2023-010007,,Valentin,Courtois,26,-88500
2023-010007,,Daniel,Široň,27,-89400
2023-010007,,Szymon,Lasota,28,-97000
2023-010007,,Konstantin,Pakshaev,29,-97700
2023-010007,,Piti,Phanpanich,30,-139700
2023-010007,,Mirela Lucia,Khezam,31,-145300
2023-010007,,Hiroshi,Kameda,32,-147600
2023-010007,,Tamas,Erdos,33,-167500
2023-010007,,Olivier,Cao,34,-210800
2023-010007,,Player,Substitut,35,-270000
2023-010007,,Player 2,Substitut,36,-270000
