event_id,player_id,player_first_name,player_last_name,placement,score
2011-010001,2,Grant,Mahoney,1,113400
2011-010001,,Lena,Smith,2,98700
2011-010001,,Stefan,Persson,3,86300
2011-010001,,Kim,Iversen,4,74500
2011-010001,,Freddy,Christiansen,5,48100
2011-010001,,Anders,Labich,6,47900
2011-010001,,Jeppe,Stig Nielsen,7,45600
2011-010001,,Mark,Lemoine,8,39200
2011-010001,,Jonas,Hagerlid,9,35700
2011-010001,,Brian,Krog,10,8900
2011-010001,,Martin,Faartoft,11,8800
2011-010001,,Isabel,Bahiano Steenholm,12,6000
2011-010001,,Jesper,Willemoes Hansen,13,5200
2011-010001,,Johan,Bjarnle,14,2100
2011-010001,,Lars,Therkelsen,15,200
2011-010001,,Tina,Christensen,16,-1800
2011-010001,,Henrik,Krogh Nielsen,17,-3000
2011-010001,,Valérian,Thomas,18,-8200
2011-010001,,Martin,Wedel Jacobsen,19,-8300
2011-010001,,Camilla,Dalsgaard,20,-9200
2011-010001,,Robert,Bonde Jensen,21,-15100
2011-010001,,Olivier,Aubrun,22,-15500
2011-010001,,Jasper,Germeys,23,-15900
2011-010001,,Claes,Schütt,24,-27000
2011-010001,,Frank,Rostved-Anberg,25,-31000
2011-010001,,Julie,Gacser,26,-31700
2011-010001,,Sylvain,Malbec,27,-34300
2011-010001,,Jesper,Nøhr,28,-43800
2011-010001,,Quentin,Thomas,29,-52300
2011-010001,,Pierre,Lemoine,30,-95000
2011-010001,,Sam,Lockwood,31,-112700
2011-010001,,Morten,Andersen,32,-115800
