event_id,player_id,player_first_name,player_last_name,placement,score
2022-010001,,Nathan,Germeau,1,199200
2022-010001,,Mustapha,Zahid,2,150500
2022-010001,,Olav,Sommers,3,142200
2022-010001,,Pierre,Chabert,4,130900
2022-010001,,Gerda,Van Oorschot,5,93800
2022-010001,,Hui,Xiang,6,89400
2022-010001,,Jacqueline,Oudshoorn,7,88100
2022-010001,2,Grant,Mahoney,8,83400
2022-010001,,Ivar,Bouwman,9,76600
2022-010001,,Alex,Leung,10,71200
2022-010001,,Mykhailo,Nedokushev,11,70800
2022-010001,,Valentin,Courtois,12,60400
2022-010001,,Pauline,Van Der Linden,13,57500
2022-010001,,Vasile,Gherman,14,57000
2022-010001,,Stéphane,Commans,15,52800
2022-010001,,Anthony,Ea,16,44100
2022-010001,,Ad,Van Der Linden,17,44000
2022-010001,,Tine,Weckhuyzen,18,42100
2022-010001,,Manuel,Tertre,19,36400
2022-010001,,Marjoleine,Lips,20,34200
2022-010001,,Benoit,Dessort,21,31600
2022-010001,,Ken Nico,Schultheiss,22,29700
2022-010001,,Kevin,Chau,23,29100
2022-010001,1,Loïc,Roberge,24,29100
2022-010001,,Vincent,Tan,25,28100
2022-010001,,Isabelle,Bats,26,26900
2022-010001,,Alexandre,Dauriac,27,20600
2022-010001,,Rudi,Kopmanis,28,18600
2022-010001,,Zoé,Juilliard,29,12200
2022-010001,,Yohann,Neraud,30,10200
2022-010001,,Bryan,Manchez,31,8900
2022-010001,,Raphael,Pelgrims,32,4300
2022-010001,,Arnaud,Renard,33,3000
2022-010001,,Matthieu,Fontaine,34,1100
2022-010001,,Laurent,Vamecq,35,-1000
2022-010001,,Frédéric,Chassot,36,-3000
2022-010001,,Karolina,Trepinska,37,-4200
2022-010001,,Sergio,Matos Lima,38,-13700
2022-010001,,Anastasiia,Veremenko,39,-14400
2022-010001,,Katarzyna,Chabelska,40,-16800
2022-010001,,Martin,Rydland,41,-20600
2022-010001,,Linh,Van Leuven,42,-22100
2022-010001,,Hiroshi,Kameda,43,-26200
2022-010001,,Sandra,Van Wijngaarden,44,-36900
2022-010001,,Thomas,Gonstas,45,-38300
2022-010001,,Hanneke,Morel,46,-44300
2022-010001,,Henri,Devillez,47,-47700
2022-010001,,Guillaume,Aubut,48,-47900
2022-010001,,Sophie,Delauche,49,-57300
2022-010001,,Cédric,Aguerre,50,-65300
2022-010001,,Yulong,Zhao,51,-73600
2022-010001,,Manuel,Schlich,52,-76900
2022-010001,,Timur,Hahn,53,-81500
2022-010001,,Leonie,Serrier,54,-83800
2022-010001,,Bogdan,Matveyev,55,-84600
2022-010001,,Thai,Chung,56,-84800
2022-010001,,Chris,De Roock,57,-95200
2022-010001,,Arthuria,Dekimpe,58,-107700
2022-010001,,Julien,Fouques,59,-108400
2022-010001,,Thibault,Vroonhove,60,-128400
2022-010001,,Luc,Rene De Cotret,61,-135700
2022-010001,,Marieke,Verheyden,62,-155100
2022-010001,,Jos,Dermout,63,-195900
2022-010001,,Angelo,Curatolo,64,-196800
