event_id,player_id,player_first_name,player_last_name,placement,score
2023-010006,,Alex,Leung,1,168200
2023-010006,,Jérémie,Pierard De Maujouy,2,135200
2023-010006,,Marian Sanya,Jones,3,92500
2023-010006,,Raphael,Pelgrims,4,89600
2023-010006,,Bruno,Manzo,5,134500
2023-010006,,Claude,Sessin,6,119700
2023-010006,,Jeroen,Chen,7,89500
2023-010006,,Stéphane,Commans,8,73500
2023-010006,,Zeyu,Sun,9,133600
2023-010006,,Alisa,Gladchenko,10,104500
2023-010006,,Julien,Fouques,11,102600
2023-010006,,Fredrik,Andersson,12,100500
2023-010006,,Miguel,Costa,13,84600
2023-010006,,Martin,Lester,14,83900
2023-010006,,Henri,Devillez,15,79700
2023-010006,,Jordan,Hemmings,16,76800
2023-010006,,Aleksandr,Kariakin,17,71400
2023-010006,,Aymeric,Masson,18,67900
2023-010006,,Artem,Karamyshev,19,65700
2023-010006,,Aurelien,Fleuriot,20,52000
2023-010006,,Anthony,Ea,21,48300
2023-010006,,Jos,Dermout,22,46500
2023-010006,,Sato,Masahiro,23,44700
2023-010006,,Cédric,Aguerre,24,43600
2023-010006,,Benoit,Dessort,25,39600
2023-010006,,Bryan,Manchez,26,37600
2023-010006,,Ivar,Bouwman,27,33200
2023-010006,,Karolina,Trepinska,28,27400
2023-010006,,Vasile,Gherman,29,26600
2023-010006,,Sophie,Delauche,30,22300
2023-010006,,Sergio,Matos Lima,31,21500
2023-010006,,Maati,Raissi,32,17100
2023-010006,,Gabriel,Destrieux,33,16400
2023-010006,,Pablo,Rebollo,34,14000
2023-010006,,Simon Bounkéo,Fongue,35,6000
2023-010006,,Minh Tri,Tran,36,-8200
2023-010006,,Arnaud,Renard,37,-9800
2023-010006,,Niklas,Johansson,38,-10800
2023-010006,,Yeyin,Lu,39,-11700
2023-010006,,Zageeth,Manokaran,40,-13500
2023-010006,,Chris,Offermans,41,-17700
2023-010006,,Véronique,Boisson,42,-19800
2023-010006,,Frédéric,Lay,43,-23200
2023-010006,,Nina,Popławska,44,-26300
2023-010006,,Fang,He,45,-26400
2023-010006,,Marco,Montebelli,46,-28700
2023-010006,,Mateusz,Maćkowski,47,-34400
2023-010006,,Haddou,Keil,48,-34600
2023-010006,,Oleksii,Bezuhlyi,49,-44600
2023-010006,,Pierre,Valat,50,-45700
2023-010006,12,Victor,Savard-Arseneault,51,-46300
2023-010006,,Szymon,Lasota,52,-47400
2023-010006,,Florian,Raczynski,53,-52800
2023-010006,,Marion,Hoarau,54,-55500
2023-010006,,Cécile,Blanc,55,-57300
2023-010006,,Arisa,Turner,56,-59800
2023-010006,,Didier,Donnat,57,-69500
2023-010006,,Paul-Arthur,Valet,58,-69600
2023-010006,,Younès,Kheniche,59,-70600
2023-010006,,Vadim,Horwat,60,-71600
2023-010006,,Antoine,Rossard,61,-74800
2023-010006,,Nehuen,Penaloza,62,-85600
2023-010006,,Michiko,Green,63,-91000
2023-010006,,Chantal,Tran,64,-95200
2023-010006,,Kevin,Chau,65,-97300
2023-010006,,Claire,Warin,66,-100000
2023-010006,,Chris,Endicott,67,-104000
2023-010006,,Arthuria,Dekimpe,68,-107300
2023-010006,,Maria,Baranowska,69,-110500
2023-010006,,Adrien,Leroy,70,-116600
2023-010006,,Chris,De Roock,71,-117200
2023-010006,,Annie,Manzo,72,-126400
2023-010006,,Olivier,Cao,73,-141500
2023-010006,,Elias,Boutaleb,74,-168800
2023-010006,,Alexis,Petitjean,75,-173000
2023-010006,,Player,Substitut,76,-405000
