event_id,player_id,player_first_name,player_last_name,placement,score
2018-010005,,Kinyan,Lui,1,95000
2018-010005,,George,L,2,93700
2018-010005,,Keyu,G,3,86100
2018-010005,,Bryant,L,4,31800
2018-010005,,Henry,M,5,71600
2018-010005,,Erik,N,6,21900
2018-010005,,Masahiro,Y,7,-52800
2018-010005,,Kirin,Z,8,-91000
2018-010005,,Kazuki,T,9,80300
2018-010005,,Hamaya,H,10,70800
2018-010005,,Sylvain,R,11,68000
2018-010005,,Kenyuu,Hayashi,12,65800
2018-010005,,John,E,13,62900
2018-010005,,Akihiro,I,14,59900
2018-010005,,Aaron,Ebejer,15,38300
2018-010005,,Norman,N,16,38100
2018-010005,,Charles,M,17,36100
2018-010005,,Kenta,K,18,35700
2018-010005,,Ryan,A,19,34100
2018-010005,,Rachel,H,20,29500
2018-010005,,Austin,T,21,23700
2018-010005,,Bichen,W,22,23600
2018-010005,,Zach,Francks,23,23300
2018-010005,,Junko,N,24,21700
2018-010005,,Zixuan,J,25,20500
2018-010005,,Evan,Nelson,26,16600
2018-010005,,Masao,S,27,10100
2018-010005,,Truman,C,28,6100
2018-010005,,Steve,A,29,3100
2018-010005,,William,Huie,30,1900
2018-010005,,Ryan,L,31,1700
2018-010005,,Nels,J,32,-300
2018-010005,,Mike,S,33,-2800
2018-010005,,Clement,W,34,-3800
2018-010005,,Haolun,W,35,-4400
2018-010005,,Simon,H,36,-24100
2018-010005,,Takashi,Masui,37,-25500
2018-010005,,Jessica,L,38,-28500
2018-010005,,Mamiko,Y,39,-41400
2018-010005,,Sam,K,40,-41900
2018-010005,,Ryan,Gan,41,-45500
2018-010005,,David,L,42,-47300
2018-010005,,Edwin,D,43,-52200
2018-010005,,Tiger,C,44,-54200
2018-010005,,Christopher,Rowe,45,-72100
2018-010005,,Curtis,Y,46,-76800
2018-010005,,Khang,Huynh,47,-94700
2018-010005,,Nobuko,M,48,-103400
2018-010005,,Isabelle,C,49,-106800
2018-010005,,Tony,Y,50,-107500
2018-010005,,Zach,W,51,-148100
2018-010005,,Alex,S,52,-193000
