event_id,player_id,player_first_name,player_last_name,placement,score
2016-010001,,Yijun,X,1,88350
2016-010001,,Alicia,D,2,56000
2016-010001,,Fanjun,C,3,35000
2016-010001,,Daniel,Moreno,4,28150
2016-010001,17,Alexandre,Boily,5,74400
2016-010001,,Irvin,D,6,47200
2016-010001,,William,L,7,14450
2016-010001,,Alex,L,8,-28200
2016-010001,,Jeffrey,Tran,9,77200
2016-010001,,Steven,Smith,10,45300
2016-010001,,Senechal,D,11,24900
2016-010001,,Jaben,Mccormack,12,20050
2016-010001,4,Michael,McLeod,13,17500
2016-010001,,Estey,G,14,4450
2016-010001,35,David,C,15,-7750
2016-010001,,Dennis,T,16,-9250
2016-010001,18,Sébastien,Bouchard,17,-18700
2016-010001,,Juliet,K,18,-19350
2016-010001,,Kevin,C,19,-25900
2016-010001,,Shan,K,20,-27550
2016-010001,,Forrest,S,21,-28800
2016-010001,,Sean,H,22,-36900
2016-010001,,Patrick,M,23,-41600
2016-010001,,Ellie O' Connor,(last Name),24,-60150
2016-010001,,Christopher,O,25,-64400
2016-010001,,Patrick,G,26,-65600
2016-010001,,Henry,H,27,-80700
2016-010001,,Anthony,Rodriguez,28,-141100
